tweet,favoriteCount,date,time,statusSource,screenName,retweetCount,location,language,profileImageURL
"RT @DallasTexxxas: [RE: $XOM $SLB $CVX $BHI $OII $ECA]: only multi-NOTCH #DOWNGRADE candidates in my entire 92 name coverage universe",0,2017/04/05,12:28:00,"<a href=""https://roundteam.co"" rel=""nofollow"">RoundTeam</a>",diggingplatinum,1,,en,http://pbs.twimg.com/profile_images/556454430032551936/lD-7VMlA_normal.jpeg
"[RE: $XOM $SLB $CVX $BHI $OII $ECA]: only multi-NOTCH #DOWNGRADE candidates in my entire 92 name coverage universe",0,2017/04/05,12:04:00,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",DallasTexxxas,1," Austin, TX ",en,http://pbs.twimg.com/profile_images/723498530380238848/S0-Ze20f_normal.jpg
"Vetr Inc. Downgrades Exxon Mobil Co. $XOM to Hold https://t.co/TuchJVK7n9",0,2017/04/03,5:53:00,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>",dailypoliticaln,0,,en,http://pbs.twimg.com/profile_images/433324818658623488/hxhCoePy_normal.jpeg
"Exxon Mobil Co. (XOM) Downgraded by Vetr Inc. to Hold https://t.co/n6jyGQSHfZ",0,2017/03/31,17:11:00,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>",chaffeybreeze,0,,en,http://pbs.twimg.com/profile_images/828754065706274816/bcfoORRd_normal.jpg
"Exxon Mobil Co. $XOM Downgraded to “Hold” at Vetr Inc. https://t.co/SeQa782t8O",0,2017/03/31,4:45:00,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>",intercooleronli,0,Florida,en,http://pbs.twimg.com/profile_images/471038514675474432/wc-6YgXp_normal.jpeg
"Exxon Mobil Co. $XOM Downgraded to “Hold” at Vetr Inc. https://t.co/J3XbkHnTtA #acn",0,2017/03/31,4:42:00,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>",ConsumerFeed,0,"Sioux Falls, SD",en,http://pbs.twimg.com/profile_images/379977873/msn_normal.jpg
"Exxon Mobil Co. $XOM Downgraded to “Hold” at Vetr Inc. https://t.co/ClmZgHcQIz",0,2017/03/31,4:37:00,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>",AmericanBanking,0,"Sioux Falls, SD",en,http://pbs.twimg.com/profile_images/541252987/Image5_normal.jpg
"Exxon Mobil downgraded by Vetr Inc. to hold. $85.59 PT. https://t.co/y9JCPyRdwL $XOM #XOM",0,2017/03/31,4:35:00,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>",RatingsNetwork,0,"Sioux Falls, SD",en,http://pbs.twimg.com/profile_images/605433922986606592/LeOUrdkT_normal.png
"Vetr Inc. Downgrades Exxon Mobil Co. $XOM to Hold https://t.co/62w5rzyUez",0,2017/03/31,4:21:00,"<a href=""https://zapier.com/"" rel=""nofollow"">Zapier.com</a>",midetimes,0,Florida,en,http://pbs.twimg.com/profile_images/417030592358662144/QDAne7E5_normal.png
"Exxon Mobil downgraded by Vetr Inc. to hold. $85.59 PT. https://t.co/qCMMQMYZ5s $XOM #XOM",0,2017/03/31,4:18:00,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>",AmericanBanking,0,"Sioux Falls, SD",en,http://pbs.twimg.com/profile_images/541252987/Image5_normal.jpg
"Exxon Mobil downgraded by Vetr Inc. to hold. $85.59 PT. https://t.co/AL6TDg1HqF $XOM #XOM",0,2017/03/31,4:10:00,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>",ConsumerFeed,0,"Sioux Falls, SD",en,http://pbs.twimg.com/profile_images/379977873/msn_normal.jpg
