tweet,favoriteCount,date,time,statusSource,screenName,retweetCount,location,language,profileImageURL
"my #ThursdayThoughts are about the LNG #Hololens experience on our booth 12-000 @GastechEvent stop by and give it a… https://t.co/6d9pCF1Unl",54,2017/04/06,6:32:00,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",XOM_NatGas,17,"Houston, TX",en,http://pbs.twimg.com/profile_images/704440037941731328/Sch1Qi3y_normal.jpg
"Miss our #powerplay event yesterday @GastechEvent see the highlights here #gastech2017 #LNG https://t.co/IPb2qGZ7Nh",54,2017/04/05,2:41:00,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",XOM_NatGas,23,"Houston, TX",en,http://pbs.twimg.com/profile_images/704440037941731328/Sch1Qi3y_normal.jpg
"@GastechEvent today? Come and walk through our LNG Value Chain #HoloLens experience #gastech2017 https://t.co/yRamdAgXTA",51,2017/04/03,23:57:00,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",XOM_NatGas,5,"Houston, TX",en,http://pbs.twimg.com/profile_images/704440037941731328/Sch1Qi3y_normal.jpg
"We have a busy week ahead @Gastech get a sneak peek here https://t.co/vtPEifJEZf",49,2017/04/02,2:41:00,"<a href=""https://ads.twitter.com"" rel=""nofollow"">Twitter Ads</a>",XOM_NatGas,14,"Houston, TX",en,http://pbs.twimg.com/profile_images/704440037941731328/Sch1Qi3y_normal.jpg
".@XOM_NatGas held a unique event this week at #Gastech2017 celebrating women playing leading roles in the #LNG busi… https://t.co/j88S2oEZqM",29,2017/04/05,22:16:00,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",exxonmobil,22,,en,http://pbs.twimg.com/profile_images/639153408075677696/lNHqTD2H_normal.jpg
"$SPY - Heatmap By Volume ~ 2:30 EST - $BAC $FTR $MU $GE $CHK $F $FCX $XOM https://t.co/xjRqZFaIsn",24,2017/03/31,18:36:00,"<a href=""http://stocktwits.com"" rel=""nofollow"">StockTwits Web</a>",androsForm,44,USA,en,http://pbs.twimg.com/profile_images/1655106781/twitter-11.24_normal.png
"Unusual Options Activity - 03.31.2017 - $ST $X $FOXA $MPC $PRXL $APC $XOM $AAPL $BX https://t.co/GQIHZpXUJT",21,2017/03/31,20:19:00,"<a href=""http://stocktwits.com"" rel=""nofollow"">StockTwits Web</a>",androsForm,57,USA,en,http://pbs.twimg.com/profile_images/1655106781/twitter-11.24_normal.png
"$XOM chart https://t.co/ZtpIBGhLwm via https://t.co/qe3sLV1upN",20,2017/04/05,17:12:00,"<a href=""http://stocktwits.com"" rel=""nofollow"">StockTwits Web</a>",androsForm,49,USA,en,http://pbs.twimg.com/profile_images/1655106781/twitter-11.24_normal.png
"$XOM weekly chart talked about today...and here come the others..... https://t.co/8Y89a8nWan",18,2017/04/05,12:11:00,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Fibonacciqueen,3,"Las Vegas, NV",en,http://pbs.twimg.com/profile_images/700054109441798144/E1U2V6D1_normal.jpg
"$TXHE $MMEX $XOM joint venture Permian Basin rumor. $MMEX ran from 
 .0001  to .05 $TXHE next? sitting at .0002. Wealth strategy 2017. Buy.",16,2017/04/03,22:21:00,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",David_Lessing,10,"gab.ai @AllAboutTheTruth",en,http://pbs.twimg.com/profile_images/836376499787808768/x-ryc8Iq_normal.jpg
