"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude","location","language","profileImageURL"
"1","Stock Market Commentary For Thursday, April 06 - $TGT, $TSLA, $XOM, $JPM, $BA, $XRT, $JWN, $NFLX, $MSFT, $GS  https://t.co/kLBJPQH1Fz",FALSE,0,NA,2017-04-05 23:45:44,FALSE,NA,"849770059413061632",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","pennyomegaCRWE",0,FALSE,FALSE,NA,NA,"Las Vegas, NV","en","http://pbs.twimg.com/profile_images/644376904/penny_normal.jpg"
"2","Market Commentary For Thursday, April 06 - $GOOGL, $SPY, $M, $AMZN, $BAC, $OIH, $IBM, $TJX, $FB, $SCO https://t.co/kLBJPQH1Fz",FALSE,0,NA,2017-04-05 23:44:25,FALSE,NA,"849769727798820864",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","pennyomegaCRWE",0,FALSE,FALSE,NA,NA,"Las Vegas, NV","en","http://pbs.twimg.com/profile_images/644376904/penny_normal.jpg"
"3","@StateDept  No shit Sherlock.  Years of hiding from the press at XOM has made you into Mr. Monosyllabic Obvious.  G… https://t.co/AM22Qboxsq",FALSE,0,"StateDept",2017-04-05 23:44:23,TRUE,NA,"849769719112634368","9624742","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","mbslack721",0,FALSE,FALSE,NA,NA,"","en","http://pbs.twimg.com/profile_images/817772266549366784/QRqJ_IYV_normal.jpg"
"4","The Moskowitz Report (GOOGL, SPY, M, AMZN, BAC, OIH, IBM, TJX, FB, SCO, TGT, TSLA, XOM, JPM, BA, XRT, JWN, NFLX, MSF https://t.co/nDs2EkCWc0",FALSE,0,NA,2017-04-05 23:40:37,FALSE,NA,"849768770503442433",NA,"<a href=""http://crweworld.com/"" rel=""nofollow"">CRWE World</a>","CrweWorld",0,FALSE,FALSE,NA,NA,"Las Vegas, NV","en","http://pbs.twimg.com/profile_images/633584665601814528/AF-Nh26Y_normal.jpg"
"5","@jimcramer Good show, tonite!  Read last night's takeaways regarding oil.  CVX, EOG, PXD, XOM.  Still think CVX is the best play?",FALSE,1,"jimcramer",2017-04-05 23:40:34,FALSE,"849765856750030849","849768757794926592","14216123","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","JRSipple",0,FALSE,FALSE,NA,NA,"KY, OH, IN, TN, WV and PA","en","http://pbs.twimg.com/profile_images/797521268006338561/AlqvorQh_normal.jpg"
"6","The main reason men and woman can never be 'equal'. Read full article here:
Xan-Man.xom https://t.co/8SD8mAucDg",FALSE,0,NA,2017-04-05 23:34:39,FALSE,NA,"849767267751518208",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Xan__Man",0,FALSE,FALSE,NA,NA,"","en","http://pbs.twimg.com/profile_images/834612905538646016/lyKhrYb9_normal.jpg"
"7","#Petrobras CEO says #Exxon has expressed strong interest in #Brazil oil $PBR $XOM https://t.co/foNro95yEY",FALSE,0,NA,2017-04-05 23:27:53,FALSE,NA,"849765567670222848",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","TweetsMillenia",0,FALSE,FALSE,NA,NA,"Panama City and Global","en-gb","http://pbs.twimg.com/profile_images/455808476434792448/QnaRk4lK_normal.jpeg"
"8","$xom good bought after hours <ed><U+00A0><U+00BD><ed><U+00B2><U+00AA><ed><U+00A0><U+00BC><ed><U+00BF><U+00BC> https://t.co/1lgoRaLZ2C",FALSE,0,NA,2017-04-05 23:05:13,FALSE,NA,"849759862556897280",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","iisma3l",0,FALSE,FALSE,NA,NA,"","en","http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png"
"9","Early movers: PNRA, WBA, ACOR, XOM, CS, AMZN, MCD, AMGN &amp; more https://t.co/cuhLGxLezj",FALSE,0,NA,2017-04-05 23:04:04,FALSE,NA,"849759570746626049",NA,"<a href=""http://bufferapp.com"" rel=""nofollow"">Buffer</a>","QuantsNotNerds",0,FALSE,FALSE,NA,NA,"Las Vegas, NV","en","http://pbs.twimg.com/profile_images/638531470529695749/0yyvoTyj_normal.png"
"10","At #Gastech Women in Energy today @kerryanneshanks moderates discussion on championing gender diversity @Shell… https://t.co/hx2z9rVgCk",FALSE,7,NA,2017-04-05 23:00:19,TRUE,NA,"849758629221867520",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","WoodMackenzie",6,FALSE,FALSE,NA,NA,"global","en","http://pbs.twimg.com/profile_images/378800000857975685/nUWHyFO2_normal.jpeg"
"11","@kylegriffin1 @MSNBC BUT BUT BUT...The T #Tillerson #Putin #XOM $500 BILLION DEAL Isn't Done Yet &amp; THEY Have 2 Find… https://t.co/inSekkXLdu",FALSE,4,"kylegriffin1",2017-04-05 22:56:07,TRUE,"849728936376377344","849757570839523330","32871086","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","DrWAVeSportCd1",0,FALSE,FALSE,NA,NA,"USA","en","http://pbs.twimg.com/profile_images/378800000241835524/841bff936a0e07c7559306197655e7bf_normal.jpeg"
"12","RT @jjjinvesting: The Cheapest Way To Diversify Among Large-Cap Companies https://t.co/LNeVcmYtoA $AAPL $AMZN $FB $GE $GIS $JNJ $JPM $MSFT…",FALSE,0,NA,2017-04-05 22:52:17,FALSE,NA,"849756607332450308",NA,"<a href=""https://roundteam.co"" rel=""nofollow"">RoundTeam</a>","diggingplatinum",1,TRUE,FALSE,NA,NA,"","en","http://pbs.twimg.com/profile_images/556454430032551936/lD-7VMlA_normal.jpeg"
"13","The Cheapest Way To Diversify Among Large-Cap Companies https://t.co/LNeVcmYtoA $AAPL $AMZN $FB $GE $GIS $JNJ $JPM $MSFT $PM $T $XOM $SCHX",FALSE,0,NA,2017-04-05 22:37:00,FALSE,NA,"849752760585261057",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","jjjinvesting",1,FALSE,FALSE,NA,NA,"San Antonio, TX","en","http://pbs.twimg.com/profile_images/797133181099053056/sMpLC685_normal.jpg"
"14","RT @exxonmobil: .@XOM_NatGas held a unique event this week at #Gastech2017 celebrating women playing leading roles in the #LNG business. ht…",FALSE,0,NA,2017-04-05 22:36:33,FALSE,NA,"849752647607431169",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","MattEck123",17,TRUE,FALSE,NA,NA,"New York City","en","http://pbs.twimg.com/profile_images/2650220397/85200f08af38b6ea20cfec02c333b51b_normal.png"
"15","RT @keith_douglas: Sorry Louisiana, if it's not #BP it's ... $XOM reveals #benzene leak in Baton Rouge LA tank. via @BloombergNow http://j.…",FALSE,0,NA,2017-04-05 22:34:59,FALSE,NA,"849752252390789122",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","safety_refinery",1,TRUE,FALSE,NA,NA,"","en","http://pbs.twimg.com/profile_images/823544905477652481/DTuf81lY_normal.jpg"
"16","RT @exxonmobil: .@XOM_NatGas held a unique event this week at #Gastech2017 celebrating women playing leading roles in the #LNG business. ht…",FALSE,0,NA,2017-04-05 22:29:19,FALSE,NA,"849750829040926720",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","TracyLothianLNG",17,TRUE,FALSE,NA,NA,"Houston ","en","http://pbs.twimg.com/profile_images/824457056577064960/7RJz7rUs_normal.jpg"
"17","RT @OCMillionaire: $MMEX 50% retrace. I bought more :D $COP $XOM $PSX #OIL #REFINERY #GULF #TEXAS #TYCOON   450 million dollar refinery pro…",FALSE,0,NA,2017-04-05 22:28:03,FALSE,NA,"849750508982206464",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","phjaniking",1,TRUE,FALSE,NA,NA,"","en","http://pbs.twimg.com/profile_images/804114867422687233/diyIuNG4_normal.jpg"
"18","RT @exxonmobil: .@XOM_NatGas held a unique event this week at #Gastech2017 celebrating women playing leading roles in the #LNG business. ht…",FALSE,0,NA,2017-04-05 22:26:19,FALSE,NA,"849750072699097088",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","AngelTadey",17,TRUE,FALSE,NA,NA,"Quito, Ecuador","es","http://pbs.twimg.com/profile_images/755590919546671104/vqlG72Dx_normal.jpg"
"19","RT @exxonmobil: .@XOM_NatGas held a unique event this week at #Gastech2017 celebrating women playing leading roles in the #LNG business. ht…",FALSE,0,NA,2017-04-05 22:22:59,FALSE,NA,"849749235373395970",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","DByersEY",17,TRUE,FALSE,NA,NA,"Houston, Texas","en","http://pbs.twimg.com/profile_images/840045275200675840/mJBD8b6D_normal.jpg"
"20","RT @exxonmobil: .@XOM_NatGas held a unique event this week at #Gastech2017 celebrating women playing leading roles in the #LNG business. ht…",FALSE,0,NA,2017-04-05 22:20:59,FALSE,NA,"849748731524243456",NA,"<a href=""https://roundteam.co"" rel=""nofollow"">RoundTeam</a>","twotwofivetweet",17,TRUE,FALSE,NA,NA,"London, England","en","http://pbs.twimg.com/profile_images/1461640434/twotwofivebox_normal.JPG"
