tweet,favoriteCount,date,time,statusSource,screenName,retweetCount,location,language,profileImageURL
"Suncor Stock Upgraded: What You Need to Know https://t.co/z1yNAEBB08 $SU $BP $XOM https://t.co/j9lkcotqmp",0,2017/04/05,20:19:00,"<a href=""http://stocktwits.com"" rel=""nofollow"">StockTwits Web</a>",SFinanciers,0,,ru,http://pbs.twimg.com/profile_images/812426902375976960/CHo97nEf_normal.jpg
"Exxon Mobil Co. $XOM Upgraded to Hold at Zacks Investment Research https://t.co/8InlmqAIIx",0,2017/04/05,19:59:00,"<a href=""https://zapier.com/"" rel=""nofollow"">Zapier.com</a>",ZolmaxNews,0,,en,http://pbs.twimg.com/profile_images/2172961480/zolmax_big_normal.jpg
"Suncor Stock Upgraded: What You Need to Know https://t.co/dOi5AG8yKO $XOM $BP $SU https://t.co/JHmd1siOGf",0,2017/04/05,17:38:00,"<a href=""http://stocktwits.com"" rel=""nofollow"">StockTwits Web</a>",whotrades,0,"New York, NY",en,http://pbs.twimg.com/profile_images/810955507741630465/fH7sJIew_normal.jpg
"BP got upgraded today and it means A LOT https://t.co/upf1zRwcxy $BP $USO $UCO $XOM",0,2017/04/04,20:58:00,"<a href=""http://stocktwits.com"" rel=""nofollow"">StockTwits Web</a>",whotrades,0,"New York, NY",en,http://pbs.twimg.com/profile_images/810955507741630465/fH7sJIew_normal.jpg
"BP Stock Upgraded: What You Need to Know https://t.co/uNUkN2d8Eg $XOM $BP https://t.co/4WRHxBYjEI",0,2017/04/04,20:30:00,"<a href=""http://stocktwits.com"" rel=""nofollow"">StockTwits Web</a>",SFinanciers,0,,ru,http://pbs.twimg.com/profile_images/812426902375976960/CHo97nEf_normal.jpg
"Investment Analysts’ Upgrades for April, 4th $ARAY, CAKE, EDR, EMP.A, HOLX, ILMN, LVNTA, WST, XEL, XOM https://t.co/D7q0AnsAaD",0,2017/04/04,20:06:00,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>",AmericanBanking,0,"Sioux Falls, SD",en,http://pbs.twimg.com/profile_images/541252987/Image5_normal.jpg
"Investment Analysts’ Upgrades for April, 4th $ARAY, CAKE, EDR, EMP.A, HOLX, ILMN, LVNTA, WST, XEL, XOM https://t.co/QdK1OaYNeP",0,2017/04/04,20:01:00,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>",intercooleronli,0,Florida,en,http://pbs.twimg.com/profile_images/471038514675474432/wc-6YgXp_normal.jpeg
"Investment Analysts’ Upgrades for April, 4th $ARAY, CAKE, EDR, EMP.A, HOLX, ILMN, LVNTA, WST, XEL, XOM https://t.co/A3AnXpvYwB",0,2017/04/04,19:36:00,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>",SleekMoneycom,0,,en,http://pbs.twimg.com/profile_images/501548634412838914/LR6q5snv_normal.jpeg
"Exxon Mobil upgraded by Zacks Investment Research to hold. https://t.co/aRz6Kt4FS7 $XOM #XOM",0,2017/04/04,18:25:00,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>",AmericanBanking,0,"Sioux Falls, SD",en,http://pbs.twimg.com/profile_images/541252987/Image5_normal.jpg
"Exxon Mobil upgraded by Zacks Investment Research to hold. https://t.co/y4SpGkLcue $XOM #XOM",0,2017/04/04,18:25:00,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>",RatingsNetwork,0,"Sioux Falls, SD",en,http://pbs.twimg.com/profile_images/605433922986606592/LeOUrdkT_normal.png
"$XOM:

BP Stock Upgraded: What You Need to Know:

https://t.co/0eNgGi8g2e",0,2017/04/04,17:40:00,"<a href=""http://www.stocknewswires.com"" rel=""nofollow"">StockNewsWires</a>",NewsToDesk,0,U.S.,en,http://pbs.twimg.com/profile_images/562292381764952064/mVtp0UmJ_normal.jpeg
"Vetr users have upgraded Exxon Mobil Corpo... to a BUY Rating (3.5 stars), giving $XOM a target price of $85.72 https://t.co/FfhfgMiSo4",0,2017/04/04,14:31:00,"<a href=""http://www.vetr.com"" rel=""nofollow"">Vetr</a>",VetrRatings,0,"New York, NY",en,http://pbs.twimg.com/profile_images/546005539512020993/jQ_5Ufyl_normal.png
"Exxon Mobil Co. $XOM Stock Rating Upgraded by Vetr Inc. https://t.co/Nvo30WJpl4",0,2017/04/04,4:25:00,"<a href=""https://zapier.com/"" rel=""nofollow"">Zapier.com</a>",ConsumerFeed,0,"Sioux Falls, SD",en,http://pbs.twimg.com/profile_images/379977873/msn_normal.jpg
"Exxon Mobil upgraded by Vetr Inc. to buy. $85.72 PT. https://t.co/nciTuCSt7R $XOM #XOM",0,2017/04/04,4:16:00,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>",AmericanBanking,0,"Sioux Falls, SD",en,http://pbs.twimg.com/profile_images/541252987/Image5_normal.jpg
"Exxon Mobil upgraded by Vetr Inc. to buy. $85.72 PT. https://t.co/l1MsuAIlDA $XOM #XOM",0,2017/04/04,4:14:00,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>",ConsumerFeed,0,"Sioux Falls, SD",en,http://pbs.twimg.com/profile_images/379977873/msn_normal.jpg
